City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,4.810000000000002,87,100,2.06,AR,1699673526
1,colonia,50.9333,6.95,7.760000000000048,91,75,5.14,DE,1699673442
2,papatowai,-46.5619,169.4708,18.110000000000014,47,0,2.2,NZ,1699673407
3,puerto natales,-51.7236,-72.4875,4.350000000000023,95,100,2.46,CL,1699673487
4,mata-utu,-13.2816,-176.1745,28.560000000000002,77,98,3.95,WF,1699673660
5,touros,-5.1989,-35.4608,25.189999999999998,78,5,5.62,BR,1699673660
6,mount gambier,-37.8333,140.7667,17.610000000000014,44,7,4.82,AU,1699673520
7,lebu,-37.6167,-73.65,10.850000000000023,89,100,9.94,CL,1699673499
8,wanning,18.8003,110.3967,28.600000000000023,74,22,3.79,CN,1699673661
9,puerto ayora,-0.7393,-90.3518,24.189999999999998,91,33,3.13,EC,1699673662
10,talnakh,69.4865,88.3972,-4.329999999999984,94,100,5.3,RU,1699673662
11,namsos,64.4662,11.4957,1.0300000000000296,60,98,8.23,NO,1699673662
12,enewetak,11.3474,162.3373,28.629999999999995,77,74,7.69,MH,1699673663
13,waitangi,-43.9535,-176.5597,11.010000000000048,83,58,0.89,NZ,1699673401
14,west odessa,31.8424,-102.4988,9.010000000000048,89,100,1.54,US,1699673663
15,zaozersk,69.4005,32.4476,-0.9099999999999682,80,93,4.61,RU,1699673524
16,mossel bay,-34.1831,22.146,17.960000000000036,83,88,4.07,ZA,1699673664
17,potosi,-19.5836,-65.7531,12.03000000000003,35,100,2.19,BO,1699673665
18,stanley,54.868,-1.6985,4.740000000000009,87,40,4.12,GB,1699673665
19,bargarh,21.3333,83.6167,26.670000000000016,46,50,0.9,IN,1699673665
20,grytviken,-54.2811,-36.5092,1.8700000000000045,87,56,5.93,GS,1699673666
21,edinburgh of the seven seas,-37.0676,-12.3116,15.220000000000027,90,100,10.92,SH,1699673666
22,port mathurin,-19.6833,63.4167,25.04000000000002,79,12,4.72,MU,1699673667
23,hawaiian paradise park,19.5933,-154.9731,23.350000000000023,94,100,2.57,US,1699673617
24,timmins,48.4669,-81.3331,-5.099999999999966,86,100,4.12,CA,1699673667
25,manismata,-2.4667,111.0333,34.73000000000002,46,98,1.03,ID,1699673668
26,albany,42.6001,-73.9662,6.230000000000018,69,36,2.63,US,1699673668
27,aroma,15.8167,36.1333,26.310000000000002,54,3,3.3,SD,1699673668
28,kiruna,67.8557,20.2251,-14.489999999999952,92,8,2.06,SE,1699673669
29,mahanoro,-19.9,48.8,23.55000000000001,87,62,4.55,MG,1699673669
30,yellowknife,62.456,-114.3525,1.900000000000034,100,100,2.57,CA,1699673669
